word,meaning
ability,能力
abnormal,異常的
abort,中止
absence,缺席
acid,酸
active,主動的
actual,真實的
add,增加
adjust,調整
AI,人工智慧
air shower,潔淨通道
alarm,警報
alert,警報
align,對焦
annually,每年的
area,區域
attach,附上
audit,稽核、查核
automatic,自動的
automotive,汽車的
available,可使用的
average,平均
backup,支援
bank,銀行/暫存
basic,基礎的
beam,光束
benchmark,標竿學習
bottle,瓶子
bottom,底部
broken,破掉的
cancel,取消
card,卡片
cart,手推車
cassette,晶片專用盒
center,中心
certify,證實、認證
change,更換
chart,圖表
check,檢查
chemical,化學、化學品
chip,晶片
choose,挑選
clean,清潔
clean chamber,潔淨室
clear,清除
collect,蒐集
color,顏色
comment,評論
company,公司
complete,完成
computer,電腦
concern,擔憂
confidential,機密的
confirm,確認
contamination,污染
continue,繼續
control,控制
copy,拷貝
count,計算
customer,客戶
cycle,週期
cycle time,生產週期
daily,每日的
data,資料
date,日期
decline,減少
defect,缺陷
delay,延遲
delete,刪除
diffusion,擴散製程
document,文件
dry,乾的
emergency,緊急情況
emergency stop,緊急停止
engineer,工程師
enhance,增進
enter,進入
environment,環境
equipment,設備
error,錯誤
etching,蝕刻製程
EUV / extreme ultraviolet,極紫外光
event,事件
execute,執行
exit,退出
fault,錯誤
find,發現
floor,地板
focus,焦點
follow,照做、跟隨
freeze,凍結
full,滿的
function,功能
gas,氣體
glass,玻璃、鏡片
gloves,手套
grade,等級
green,綠色
group,群組
handle,處理
hard-disk,硬盤
heavy,重的
helmet,安全帽
help,幫助
hold,暫停
hole,孔、洞
hot,熱的
impact,影響
improve,改善
inform,通知
information,資訊
inhibition,禁止禁用
input,輸入
inspect,檢查
inspection,檢驗
instruction,指令
internet,網際網路
interview,面試
issue,發行/議題
job,工作
keep,保持
keyboard,鍵盤
label,標籤
laboratory,實驗室
leader,組長
learn,學習
level,程度
lift,抬起、舉起
light,光
line,直線
link,連結
liquid,液體
list,清單
lithography,黃光／微影製程
load,上貨、裝載
loading,負荷
lobby,大廳
location,位置
lock,鎖住
log sheet,工作紀錄
lose,遺失
lot,批貨
machine,機器
maintain,維護
manual,手動的
manufacture,製造
mark,記號
mask,光罩、口罩
material,原料
measure,量測
mechanical,機械的
merge,合併
message,訊息
metal,金屬
miss-operation,錯誤動作
monitor,監視器、測機
monthly,每月的
more,更多的
move,移動/產出
new,新的
normal,正常的
note,註解
notice,通知
number,號碼
office,辦公室
off-line,離線的
on time,準時
on-line,在線的
operation,操作
output,輸出
oven,烤箱
over time,加班
page,頁數
paper,紙張
parameter,參數
part,零件
particle,微粒
pass,合格
password,密碼
perfect,完美的
personal,個人的
phase,階段
photo,相片
plan,計劃
plus,加上
pod,晶片傳送盒
point,點
position,位置
positive,正向的
postpone,延期
power,力量
practice,練習
prepare,準備
press,按下
pressure,壓力
preview,預覽
price,價格
print,列印
priority,優先順序
process,過程、流程
product,產品
protect,保護
purge,清除
push,推進
quality,品質
quantity,數量
rate,比率
re-certify,重新認證
recipe,食譜、處方程式
record,記錄
recover,復機
release,釋放
remark,註記
remind,提醒
remove,移開
repair,修理
report,報告
reset,重設
rework,重做
route,路線
rule,規則
run,運轉、跑
run-card,流程卡
S.O.P / Standard Operating Procedures,標準作業程序
safe,安全的
same,相同的
save,儲存
scrap,報廢
scratch,刮傷
screen,螢幕
select,選擇
semiconductor,半導體
service,服務
sheet,表單
shift,班次
show,顯示
shuttle,接駁車
skip,跳過
sorter,排序機、分類機
source,來源
Spec. / specification,規格
speed,速度
split,分帳、分批
stage,站別、階段
standard,標準
standby,等待
start,啟動
station,站
status,狀況
step,步驟
stocker,儲存櫃
success,成功
super,超級的
super hot run,超級急件
supervisor,監督者
support,支援
switch,開關
system,系統
tag,標籤/標註
take leave,請假
tape,膠帶
target,目標
technician,技術員
telephone,電話
temperature,溫度
thickness,厚度
thin film,薄膜製程
time,時間
title,標題
top,頂端
track,追蹤
training,訓練
trend,趨勢
tune,調整
turn rate,週轉率
unload,下貨、卸載
use,使用
username,使用者名稱
vendor,廠商
view,查看
wafer,晶圓
waiting,等待
warning,警告
weekly,每週地
wet,濕的
window,視窗
yield,良率
zero,零
